,rating,reviews,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,checkin,checkout,amenities_list,amenities_count,region,bathroom_shared,bathroom_private,toilet_only,no_rating
841,4.61,69,4.647051859813712,India,2.0,2,5,0,2,0,After 3 00 pm,11 00 am,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'Pets allowed', 'TV with standard cable/satellite', 'Washing machine', 'Air conditioning']",8,Goa,0,0,0,0
842,4.75,56,2.908282684462695,India,1.0,1,2,0,1,0,After 1 00 pm,Unknown,"['Wifi – 41 Mbps', 'Free parking on premises', 'Washing machine', 'Smoking allowed', 'Long-term stays allowed']",5,Goa,0,1,0,0
843,4.6,10,2.59507486701393,India,1.0,1,2,0,0,1,12 00 pm - 12 00 am,10 00 am,"['Beach access – Beachfront', 'Kitchen', 'Wifi – 40 Mbps', 'Free on-street parking', 'Pets allowed', 'TV', 'Paid washer – In building', 'Security cameras on property']",8,Goa,0,1,0,0
844,4.73,37,3.7275787153014055,India,1.0,2,4,0,2,0,After 1 00 pm,11 00 am,"['Courtyard view', 'Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Washing machine', 'Patio or balcony', 'Refrigerator']",8,Goa,0,0,0,0
845,5.0,9,3.565962781937808,India,1.0,1,2,0,1,0,After 12 00 pm,11 00 am,"['Beach access – Beachfront', 'Ski-in/Ski-out', 'Wifi', 'Free parking on premises', 'Air conditioning', 'Luggage drop-off allowed', 'Smoking allowed', 'Long-term stays allowed']",8,Goa,0,0,0,0
846,4.67,21,3.0739196931257813,India,1.0,1,4,0,0,1,After 2 00 pm,11 00 am,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Private patio or balcony', 'Cot']",8,Goa,0,1,0,0
847,4.86,7,5.060916027824473,India,3.0,3,8,0,3,0,After 2 00 pm,11 00 am,"['City skyline view', 'Garden view', 'Public or shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool – available all year', 'open specific hours']",9,Goa,0,0,0,0
848,4.89,38,4.7695608566608305,India,3.5,4,9,0,3,0,1 00 pm - 11 00 pm,10 00 am,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Pets allowed', 'TV', 'Security cameras on property']",8,Goa,0,0,0,0
849,,1,4.48863636973214,India,3.0,3,8,0,3,0,After 2 00 pm,Unknown,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Smoking allowed']",8,Goa,0,0,0,1
850,4.66,123,4.02535169073515,India,2.0,3,6,0,2,0,After 1 00 pm,10 00 am,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool – open specific hours', 'Pets allowed', 'TV with standard cable/satellite', 'Security cameras on property']",8,Goa,0,0,0,0
851,4.56,9,5.165680582247982,India,4.0,4,12,0,4,0,After 2 00 pm,11 00 am,"['Courtyard view', 'Garden view', 'Beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool']",8,Goa,0,0,0,0
852,5.0,25,5.265184111264893,India,3.0,4,8,0,4,0,2 00 pm - 9 00 pm,12 00 pm,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'HDTV with standard cable/satellite', 'Free washer – In unit', 'AC – split-type ductless system', 'Hair dryer']",9,Goa,0,0,0,0
853,4.54,26,4.405690213729862,India,3.0,3,9,0,3,0,After 2 00 pm,11 00 am,"['Wifi', 'Dedicated workspace', 'Free on-street parking', 'Pets allowed', 'TV', 'Air conditioning', 'Patio or balcony', 'Garden', 'Smoking allowed']",9,Goa,0,0,0,0
854,4.77,31,5.313502688535701,India,3.5,3,8,0,3,0,After 2 00 pm,11 00 am,"['Courtyard view', 'Garden view', 'Public or shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'Private outdoor pool', 'Pets allowed']",9,Goa,0,0,0,0
855,4.8,167,4.93282570027002,India,2.0,8,10,0,3,0,2 00 pm - 11 00 pm,11 00 am,"['Private beach access – Beachfront', 'Kitchen', 'Wifi', 'Free driveway parking on premises', 'Private hot tub', 'Pets allowed', 'TV with Chromecast', 'AC – split-type ductless system']",8,Goa,0,0,0,0
856,4.8,170,3.8821846460418548,India,2.0,3,6,0,1,0,After 1 00 pm,10 00 am,"['Garden view', 'Public or shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool – available all year', 'open specific hours', 'lap pool', 'HDTV with cable/satellite TV']",10,Goa,0,0,0,0
857,,0,4.930826829400684,India,6.0,4,12,0,4,0,After 3 00 pm,Unknown,"['Beach view', 'Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Pets allowed', 'Security cameras on property']",8,Goa,0,0,0,1
858,4.84,156,4.02535169073515,India,2.0,4,8,0,2,0,2 00 pm - 2 00 am,11 00 am,"['Resort view', 'Park view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', '32"" TV with standard cable/satellite', 'Free washer – In unit']",8,Goa,0,0,0,0
859,4.75,4,4.543807339943962,India,3.5,3,8,0,3,0,After 2 00 pm,11 00 am,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Air conditioning', 'Bath']",8,Goa,0,0,0,0
860,4.93,29,4.114422763797134,India,2.0,2,6,0,2,0,2 00 pm - 10 00 pm,10 00 am,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'TV', 'Air conditioning', 'Shared patio or balcony']",8,Goa,0,0,0,0
861,4.78,80,3.838026241177714,India,2.0,2,6,0,2,0,After 2 00 pm,10 00 am,"['Garden view', 'Pool view', 'Beach access', 'Kitchen', 'Wifi – 30 Mbps', 'Dedicated workspace', 'Free parking on premises', '32"" HDTV with cable/satellite TV', 'standard cable/satellite', 'Lift', 'Free washer – In unit']",11,Goa,0,0,0,0
862,4.89,9,6.807508839484369,India,4.5,4,12,0,4,0,After 3 00 pm,11 00 am,"['Kitchen', 'Wifi', 'Pool', 'TV', 'Washing machine', 'Air conditioning', 'Hair dryer', 'Smoking allowed']",8,Goa,0,0,0,0
863,4.67,64,3.693387350553126,India,1.0,1,3,0,1,0,After 2 00 pm,11 00 am,"['Garden view', 'Kitchen', 'Wifi', 'Free multistorey car park on premises', 'TV with standard cable/satellite', 'Air conditioning', 'Private patio or balcony', 'Private backyard – Fully fenced']",8,Goa,0,0,0,0
864,,1,5.104337756512484,India,3.5,3,8,0,3,0,After 2 00 pm,11 00 am,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'Shared outdoor pool – available all year', 'open specific hours', '55"" HDTV with Amazon Prime Video', 'Security cameras on property']",9,Goa,0,0,0,1
865,4.52,29,3.830995877629104,India,1.5,2,6,0,2,0,After 1 00 pm,10 00 am,"['Public or shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '55"" HDTV', 'Free washer – In unit']",8,Goa,0,0,0,0
866,4.91,11,6.254824608468894,India,4.0,5,10,0,4,0,After 2 00 pm,11 00 am,"['Garden view', 'Public or shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Pets allowed']",8,Goa,0,0,0,0
